TargetID	ProbeID	590.AVG_Signal	590.Detection Pval	592.AVG_Signal	592.Detection Pval	593.AVG_Signal	593.Detection Pval	594.AVG_Signal	594.Detection Pval	595.AVG_Signal	595.Detection Pval	596.AVG_Signal	596.Detection Pval	597.AVG_Signal	597.Detection Pval	598.AVG_Signal	598.Detection Pval	599.AVG_Signal	599.Detection Pval	600.AVG_Signal	600.Detection Pval	601.AVG_Signal	601.Detection Pval	603.AVG_Signal	603.Detection Pval	607.AVG_Signal	607.Detection Pval	608.AVG_Signal	608.Detection Pval	609.AVG_Signal	609.Detection Pval	612.AVG_Signal	612.Detection Pval	613.AVG_Signal	613.Detection Pval	614.AVG_Signal	614.Detection Pval	615.AVG_Signal	615.Detection Pval	616.AVG_Signal	616.Detection Pval	617.AVG_Signal	617.Detection Pval	618.AVG_Signal	618.Detection Pval	619.AVG_Signal	619.Detection Pval	623.AVG_Signal	623.Detection Pval	626.AVG_Signal	626.Detection Pval	627.AVG_Signal	627.Detection Pval	628.AVG_Signal	628.Detection Pval	629.AVG_Signal	629.Detection Pval	630.AVG_Signal	630.Detection Pval	631.AVG_Signal	631.Detection Pval	632.AVG_Signal	632.Detection Pval	634.AVG_Signal	634.Detection Pval	635.AVG_Signal	635.Detection Pval	636.AVG_Signal	636.Detection Pval	637.AVG_Signal	637.Detection Pval	638.AVG_Signal	638.Detection Pval	639.AVG_Signal	639.Detection Pval	640.AVG_Signal	640.Detection Pval	641.AVG_Signal	641.Detection Pval	642.AVG_Signal	642.Detection Pval	643.AVG_Signal	643.Detection Pval	645.AVG_Signal	645.Detection Pval	646.AVG_Signal	646.Detection Pval	647.AVG_Signal	647.Detection Pval	648.AVG_Signal	648.Detection Pval	649.AVG_Signal	649.Detection Pval	650.AVG_Signal	650.Detection Pval	651.AVG_Signal	651.Detection Pval
NEGATIVE	3930674	130.8964	0.05974026	143.9405	0.1103896	156.1144	0.1038961	140.9286	0.06103896	136.8798	0.6792208	115.3505	0.1181818	108.2738	0.4766234	193.4934	0.007792208	149.0682	0.212987	164.9005	0.1103896	174.567	0.04675325	168.3804	0.04675325	203.3185	0.03116883	210.3629	0.01948052	133.387	0.4090909	201.2814	0.02727273	140.7395	0.1103896	196.3139	0.1207792	174.8439	0.2987013	197.3425	0.05194805	175.1933	0.3220779	152.3728	0.2480519	161.4237	0.2168831	179.7083	0.08701298	179.8204	0.1246753	238.4168	0.002597403	196.1042	0.1467533	203.8067	0.001298701	210.5788	0.05194805	220.4758	0.009090909	209.1976	0.02727273	193.4403	0.08311688	203.7636	0.03766234	149.9663	0.3233766	197.6362	0.2441558	212.9318	0.04545455	257.4966	0.09220779	248.7173	0.1311688	240.7786	0.174026	236.1947	0.212987	230.6576	0.06493507	185.9483	0.6376624	258.3703	0.287013	237.2672	0.03636364	282.0069	0.07272727	245.138	0.3090909	282.7265	0.04545455	277.3782	0.1051948
NEGATIVE	3940386	91.33466	0.8974026	102.6795	0.9077922	120.4721	0.7779221	103.8764	0.7831169	112.6258	0.974026	84.76874	0.8909091	80.84253	0.9948052	118.2408	0.9506493	124.7858	0.7116883	124.0595	0.8506494	135.6022	0.7207792	118.965	0.8441558	137.7411	0.7961039	132.9494	0.874026	100.8534	0.9168831	128.1224	0.9168831	92.49046	0.9272727	123.494	0.9935065	129.1107	0.887013	131.6036	0.8883117	132.2004	0.8753247	122.2561	0.738961	114.0557	0.9350649	126.9017	0.8558441	126.7713	0.9051948	135.6071	0.8636364	155.5037	0.7441558	113.6909	0.9103896	158.0522	0.7324675	153.8758	0.7	125.7102	0.974026	143.9977	0.774026	142.1058	0.7961039	116.3282	0.8272727	137.4621	0.9545454	130.8185	0.9311689	172.1379	0.9506493	191.1123	0.7753247	171.2813	0.9090909	166.5975	0.9428571	147.637	0.9454545	137.5064	0.9896104	194.6445	0.8402597	141.9516	0.9324675	192.3314	0.8753247	164.7826	0.9662338	190.5804	0.8324676	177.8379	0.9363636
NEGATIVE	3940441	99.17191	0.7480519	110.9472	0.7584416	148.0109	0.212987	135.0766	0.1311688	132.1109	0.7532467	110.9926	0.2077922	98.71735	0.7181818	135.2743	0.7441558	149.5006	0.2051948	137.0975	0.6610389	135.2855	0.7246753	121.102	0.8155844	150.8983	0.6935065	151.9366	0.7077922	124.8479	0.5558441	170.3884	0.3298701	116.5437	0.6025974	157.1698	0.6883117	158.8035	0.5727273	147.8784	0.7246753	154.2096	0.6675324	132.9819	0.6246753	141.4084	0.6233766	137.8724	0.7480519	157.0905	0.5532467	148.5279	0.7519481	156.2794	0.7363636	141.5559	0.5766234	175.2004	0.5402597	149.3659	0.7558442	171.9907	0.4675325	150.3353	0.7246753	149.1821	0.7519481	145.4556	0.412987	177.6654	0.5805195	155.3079	0.7116883	225.4114	0.4623377	208.5936	0.6532468	226.6114	0.3766234	191.8178	0.7532467	163.095	0.8155844	174.0093	0.725974	239.1436	0.5090909	188.6347	0.5077922	223.9191	0.6714286	201.489	0.7415584	201.2822	0.7571428	209.6723	0.7363636
NEGATIVE	3940468	84.68818	0.9883117	101.9812	0.9194805	115.3568	0.8558441	85.18311	0.9961039	145.1133	0.5207792	87.62708	0.8298701	104.816	0.5675325	123.0224	0.8961039	134.7293	0.5155844	127.6619	0.7935065	120.3737	0.9155844	112.1139	0.9363636	157.9478	0.6142857	147.2773	0.7454545	102.9553	0.8818182	118.5741	0.9844156	109.4165	0.7025974	130.0092	0.9558442	147.1626	0.7155844	138.2832	0.8103896	154.4339	0.6649351	127.0065	0.6961039	111.1765	0.9610389	117.6962	0.9571428	133.6101	0.8272727	156.7994	0.6779221	156.0788	0.738961	114.9551	0.8974026	145.5703	0.8454546	135.6541	0.8935065	149.2619	0.7519481	144.2045	0.7714286	149.7238	0.7467533	113.3487	0.8662338	141.2146	0.9181818	140.6214	0.8207792	189.3768	0.8077922	194.1615	0.7519481	182.7	0.8142857	209.5165	0.5974026	156.7464	0.8597403	138.4695	0.9844156	186.571	0.8974026	135.5746	0.9753247	194.1658	0.8532467	178.9659	0.8909091	182.9436	0.9051948	173.4343	0.9649351
NEGATIVE	3990086	108.7897	0.5597402	129.9614	0.4311688	125.4271	0.712987	109.9218	0.6922078	125.7438	0.8389611	94.12414	0.6909091	98.73141	0.7168831	144.2148	0.5792208	116.6238	0.8441558	143.8785	0.5207792	135.5746	0.7220779	137.6419	0.5766234	159.3456	0.5948052	162.3533	0.5727273	119.3492	0.6558442	150.6411	0.6662338	117.2335	0.5844156	166.931	0.6012987	157.9135	0.5896104	160.8859	0.5584416	141.0542	0.7896104	137.9801	0.5220779	130.1481	0.7506493	145.6216	0.638961	137.0114	0.787013	166.2069	0.5545455	160.3533	0.6896104	142.9845	0.5571429	161.7536	0.6974026	170.0766	0.5025974	152.9217	0.7298701	182.404	0.225974	173.9266	0.4103896	112.2429	0.8831169	162.2049	0.7428572	158.8345	0.6935065	232.9313	0.3376623	205.9116	0.674026	187.0627	0.7688312	214.1615	0.5272727	179.9511	0.6896104	170.172	0.7584416	205.318	0.7831169	174.6183	0.6844156	216.5969	0.7116883	214.5622	0.6610389	242.11	0.412987	204.7889	0.7623377
NEGATIVE	3990114	119.738	0.2584416	117.6722	0.6727273	139.1072	0.4064935	112.0679	0.6441559	124.0598	0.8597403	83.47426	0.9142857	120.566	0.1597403	147.0672	0.5233766	148.5688	0.2207792	139.2404	0.625974	136.792	0.6974026	134.4355	0.635065	174.9601	0.3090909	190.1463	0.1337662	138.3974	0.3090909	169.2251	0.3493507	130.8217	0.2532468	169.013	0.5701299	167.3732	0.4428571	174.3247	0.3298701	198.1053	0.06103896	140.3751	0.4610389	161.153	0.2207792	145.4116	0.6428571	178.334	0.1545455	171.0079	0.4623377	144.5231	0.8298701	139.869	0.6077922	180.7748	0.4350649	180.0332	0.2974026	187.1462	0.1974026	183.2816	0.2116883	169.4583	0.5025974	161.5957	0.138961	202.612	0.1688312	171.7123	0.5181818	221.1092	0.5272727	199.1292	0.7194805	237.5939	0.2116883	232.9787	0.2649351	199.4189	0.4103896	207.5227	0.3272727	253.9292	0.338961	212.5808	0.2103896	247.4789	0.4155844	232.7073	0.4753247	252.1761	0.2727273	248.0702	0.3896104
NEGATIVE	4010465	91.84212	0.8883117	103.684	0.8935065	107.3065	0.951948	95.68009	0.9103896	127.5211	0.8181818	101.5535	0.4753247	83.92223	0.9753247	142.0081	0.6168831	109.7882	0.9298701	129.0298	0.7753247	129.4216	0.8	108.2978	0.974026	135.1554	0.8207792	126.0867	0.9467533	86.53142	1	136.3579	0.8272727	94.41702	0.9025974	140.3337	0.8662338	132.3025	0.8467532	125.0714	0.9545454	144.6138	0.7493507	102.6836	0.974026	126.5123	0.7948052	121.5971	0.9103896	122.868	0.9337662	134.5982	0.8779221	146.0128	0.8103896	124.563	0.7753247	133.5548	0.9688312	115.7661	0.9974026	128.2256	0.9597403	139.8349	0.8103896	136.6124	0.8558441	118.8852	0.8025974	135.8161	0.9636363	128.3632	0.9545454	173.6555	0.9415584	168.3762	0.9623377	180.9752	0.8285714	182.1862	0.8233766	140.0653	0.9818182	137.0948	0.9909091	192.45	0.8558441	160.5402	0.7883117	193.1357	0.861039	179.9433	0.8844156	188.7992	0.8571429	158.3652	1
NEGATIVE	4010717	115.5123	0.3779221	147.9471	0.06883117	154.0928	0.1233766	138.9423	0.07662338	151.3239	0.3727273	118.3704	0.08441558	136.1879	0.02467532	158.3959	0.2636364	146.2594	0.2701299	174.1669	0.04805195	168.1018	0.0987013	156.8765	0.1441558	187.5323	0.138961	167.6163	0.4766234	154.0886	0.06233766	166.296	0.412987	130.9801	0.2519481	178.9303	0.3727273	199.3759	0.05324675	184.1717	0.1714286	173.1428	0.3688312	149.6226	0.2753247	173.4261	0.08961039	192.1058	0.02727273	168.6508	0.3077922	186.8522	0.1792208	188.7164	0.2415584	199.0672	0.002597403	222.59	0.01688312	190.3259	0.1415584	186.5665	0.2090909	179.1734	0.2935065	187.5275	0.1844156	167.2459	0.07012987	228.4819	0.02077922	203.5705	0.07792208	249.3001	0.1415584	264.2358	0.03896104	248.6218	0.1038961	234.6405	0.2428571	207.5783	0.2727273	234.4942	0.05194805	270.3445	0.1558442	272.2851	0.002597403	260.0387	0.2519481	257.4653	0.1792208	277.0161	0.07012987	265.2632	0.2116883
NEGATIVE	4040593	113.6693	0.4168831	133.3572	0.3272727	130.0901	0.6155844	126.5051	0.3142857	137.593	0.6701299	101.5863	0.474026	112.1069	0.3649351	132.811	0.7818182	149.6563	0.2012987	140.6172	0.5896104	133.7478	0.7402598	145.325	0.3818182	165.2529	0.4753247	167.515	0.4779221	129.2475	0.4805195	144.5896	0.7363636	130.8158	0.2545455	181.5948	0.325974	160.0766	0.5519481	181.9037	0.1935065	204.5954	0.03116883	141.2857	0.438961	127.5209	0.7818182	165.8665	0.2584416	160.8467	0.4623377	170.7921	0.4688312	201.3559	0.1064935	123.9932	0.7818182	192.1721	0.2285714	177.4845	0.3363636	162.1469	0.6337662	171.9324	0.4415585	181.7296	0.2779221	154.8645	0.2142857	192.0822	0.3246753	186.1911	0.261039	226.2117	0.4506494	249.5768	0.1233766	225.0441	0.3987013	221.9289	0.4207792	214.3154	0.2077922	221.5137	0.1441558	232.7331	0.5857143	192.4424	0.451948	236.9792	0.5376623	221.541	0.5948052	238.2239	0.4597403	223.4363	0.648052
NEGATIVE	4040639	122.0853	0.2	149.181	0.05324675	140.2738	0.3701299	145.3068	0.02727273	151.3238	0.374026	101.9221	0.4623377	120.5089	0.161039	170.0874	0.07792208	133.1744	0.5506493	156.8043	0.2298701	161.2582	0.1831169	148.3509	0.3077922	178.4653	0.2493507	197.1562	0.08831169	154.2934	0.05844156	189.8165	0.07662338	149.9792	0.05064935	206.5693	0.05584415	189.1483	0.1038961	172.0208	0.3779221	181.104	0.2298701	145.6994	0.3506494	161.3067	0.2181818	155.9177	0.4636364	183.958	0.08441558	187.0617	0.1779221	235.4268	0.005194805	176.3059	0.05064935	201.0127	0.1207792	189.7067	0.1493506	188.3621	0.1714286	173.0065	0.4194805	186.8161	0.2	174.1149	0.03376623	192.4187	0.3168831	182.9952	0.3207792	295.5296	0.005194805	260.893	0.05714286	230.7863	0.3038961	243.9273	0.1415584	216.6502	0.174026	205.8329	0.3480519	261.6385	0.2428571	227.8768	0.07402597	283.5725	0.06363636	254.0349	0.2077922	279.3693	0.05844156	280.8603	0.08441558
NEGATIVE	4050167	92.79496	0.8662338	105.0976	0.8558441	117.7302	0.8168831	96.14168	0.8987013	123.6997	0.861039	90.60277	0.7636364	105.5208	0.5519481	121.1266	0.9207792	123.4154	0.7285714	118.031	0.9246753	114.5569	0.9688312	116.3415	0.8831169	147.4027	0.7194805	122.3551	0.9779221	98.42153	0.9467533	145.5368	0.725974	96.05467	0.8779221	133.9681	0.9324675	128.0534	0.8961039	129.7386	0.9038961	142.4423	0.7727273	111.1631	0.8779221	118.2286	0.887013	129.4313	0.8194805	130.3163	0.8597403	134.0195	0.8844156	147.9931	0.7909091	107.4376	0.9727273	147.6279	0.8207792	140.6383	0.8389611	135.7966	0.8922078	135.8099	0.8506494	133.0754	0.8909091	108.605	0.9220779	133.6576	0.9805195	118.0117	0.9987013	176.7145	0.9155844	166.6338	0.9701298	178.7599	0.8597403	162.0552	0.9766234	148.1875	0.9350649	172.3278	0.738961	177.0311	0.9623377	135.5991	0.974026	195.315	0.8454546	180.5473	0.8805195	177.422	0.938961	176.9475	0.9402598
NEGATIVE	4050324	107.0836	0.5935065	117.6568	0.674026	139.2396	0.4051948	143.0368	0.04285714	150.2617	0.3948052	106.9018	0.3025974	103.9368	0.5974026	138.7153	0.6883117	136.2037	0.4831169	160.5526	0.1636364	151.7746	0.3805195	123.7255	0.7935065	149.3669	0.7077922	179.337	0.2701299	159.9852	0.02597403	168.7494	0.3584416	111.4432	0.6766234	183.6925	0.2948052	156.5418	0.6103896	163.2367	0.5194805	142.1324	0.7779221	146.4351	0.3350649	134.7562	0.7064935	159.7619	0.3909091	168.7341	0.3025974	189.6721	0.1337662	184.3432	0.3142857	168.1389	0.1168831	183.4315	0.3883117	169.9322	0.5064935	191.2106	0.1428571	181.1262	0.2519481	187.1679	0.1909091	156.0912	0.2012987	207.4732	0.112987	182.5946	0.3272727	249.1898	0.1454545	243.6917	0.1792208	226.7479	0.3727273	227.6298	0.3311688	210.6174	0.2519481	222.4106	0.1311688	229.2271	0.6194805	197.5039	0.3922078	268.3142	0.1597403	233.7356	0.4571429	224.6024	0.6363636	229.9505	0.5961039
