TargetID	ProbeID	HSS 106.AVG_Signal	HSS 106.Detection Pval	HSS 107.AVG_Signal	HSS 107.Detection Pval	HSS 108.AVG_Signal	HSS 108.Detection Pval	HSS 109.AVG_Signal	HSS 109.Detection Pval	HSS 110.AVG_Signal	HSS 110.Detection Pval	HSS 111.AVG_Signal	HSS 111.Detection Pval	HSS 112.AVG_Signal	HSS 112.Detection Pval	HSS 113.AVG_Signal	HSS 113.Detection Pval	HSS 114.AVG_Signal	HSS 114.Detection Pval	HSS 115.AVG_Signal	HSS 115.Detection Pval	HSS 116.AVG_Signal	HSS 116.Detection Pval	HSS 117.AVG_Signal	HSS 117.Detection Pval	HSS 118.AVG_Signal	HSS 118.Detection Pval	HSS 119.AVG_Signal	HSS 119.Detection Pval	HSS 120.AVG_Signal	HSS 120.Detection Pval	HSS 121.AVG_Signal	HSS 121.Detection Pval	HSS 122.AVG_Signal	HSS 122.Detection Pval	HSS 123.AVG_Signal	HSS 123.Detection Pval	HSS 125.AVG_Signal	HSS 125.Detection Pval	HSS 126.AVG_Signal	HSS 126.Detection Pval	HSS 127.AVG_Signal	HSS 127.Detection Pval	HSS 128.AVG_Signal	HSS 128.Detection Pval	HSS 129.AVG_Signal	HSS 129.Detection Pval	HSS 131.AVG_Signal	HSS 131.Detection Pval	HSS 132.AVG_Signal	HSS 132.Detection Pval	HSS 133.AVG_Signal	HSS 133.Detection Pval	HSS 134.AVG_Signal	HSS 134.Detection Pval	HSS 135.AVG_Signal	HSS 135.Detection Pval	HSS 136.AVG_Signal	HSS 136.Detection Pval	HSS 137.AVG_Signal	HSS 137.Detection Pval	HSS 138.AVG_Signal	HSS 138.Detection Pval	HSS 139.AVG_Signal	HSS 139.Detection Pval	HSS 140.AVG_Signal	HSS 140.Detection Pval	HSS 141.AVG_Signal	HSS 141.Detection Pval	HSS 142.AVG_Signal	HSS 142.Detection Pval	HSS 143.AVG_Signal	HSS 143.Detection Pval	HSS 144.AVG_Signal	HSS 144.Detection Pval	HSS 145.AVG_Signal	HSS 145.Detection Pval	HSS 146.AVG_Signal	HSS 146.Detection Pval	HSS 147.AVG_Signal	HSS 147.Detection Pval	HSS 148.AVG_Signal	HSS 148.Detection Pval	HSS 149.AVG_Signal	HSS 149.Detection Pval	HSS 150.AVG_Signal	HSS 150.Detection Pval	HSS 151.AVG_Signal	HSS 151.Detection Pval	HSS 152.AVG_Signal	HSS 152.Detection Pval	HSS 153.AVG_Signal	HSS 153.Detection Pval	HSS 154.AVG_Signal	HSS 154.Detection Pval	HSS 155.AVG_Signal	HSS 155.Detection Pval
BIOTIN	5090180	15498.01	0.00	20950.49	0.00	25762.71	0.00	25915.98	0.00	22432.02	0.00	26494.59	0.00	22443.34	0.00	26439.81	0.00	27661.79	0.00	24976.35	0.00	28242.91	0.00	21048.57	0.00	36490.99	0.00	40384.57	0.00	33043.8	0.00	30994.92	0.00	30219.9	0.00	33804.39	0.00	31938.36	0.00	29253.48	0.00	33067.08	0.00	31827.62	0.00	32531.72	0.00	26749.47	0.00	31116.2	0.00	30713.91	0.00	30335.3	0.00	27429.02	0.00	27403.02	0.00	25981.07	0.00	29284.87	0.00	26471.41	0.00	27310.9	0.00	27097.37	0.00	29759.92	0.00	28939.04	0.00	21305.26	0.00	24946.07	0.00	22961.14	0.00	26002.47	0.00	25620.65	0.00	23036.5	0.00	28575.62	0.00	26756.5	0.00	31270.95	0.00	29559.88	0.00	24117.86	0.00	23813.92	0.00
BIOTIN	6510136	15827.82	0.00	21055.75	0.00	25193.67	0.00	23705.66	0.00	22844.16	0.00	24783.29	0.00	22545.64	0.00	25771.64	0.00	22513.67	0.00	23295.12	0.00	25679.8	0.00	20102.21	0.00	33944.59	0.00	32017.78	0.00	36470.6	0.00	29792.54	0.00	33042.87	0.00	34130.56	0.00	27210.87	0.00	25722.08	0.00	27099.22	0.00	27512.18	0.00	31444.24	0.00	27763.68	0.00	30198.03	0.00	28017.89	0.00	27853.5	0.00	30147.25	0.00	29413.63	0.00	27883.31	0.00	30568.58	0.00	27939.69	0.00	30850.33	0.00	27673.81	0.00	27795.95	0.00	26897.59	0.00	19482.18	0.00	26799.03	0.00	22283.25	0.00	23616.88	0.00	24889.31	0.00	23097.26	0.00	28035.59	0.00	22388.57	0.00	28433.82	0.00	28514.38	0.00	26491.53	0.00	24183.42	0.00
CY3_HYB	1110170	18813.48	0.00	24806.37	0.00	28910.07	0.00	28558.81	0.00	26582.19	0.00	31769.92	0.00	26031.88	0.00	31307.7	0.00	28564.65	0.00	28863.88	0.00	31578.46	0.00	26339.88	0.00	41610.47	0.00	41670.71	0.00	43485.22	0.00	33954.04	0.00	40908.54	0.00	39245.19	0.00	34484.5	0.00	34667.68	0.00	34392.9	0.00	32861.49	0.00	39087.76	0.00	30252.93	0.00	34795.6	0.00	32671.39	0.00	29883.18	0.00	31850.01	0.00	31802.42	0.00	31673.41	0.00	32437.55	0.00	30522.38	0.00	31069.85	0.00	34935.45	0.00	36021.97	0.00	33880.3	0.00	20887.03	0.00	33920.34	0.00	27401.11	0.00	34025.4	0.00	29613.05	0.00	28809.13	0.00	31866.44	0.00	33090.91	0.00	34346.05	0.00	32122.25	0.00	30932.27	0.00	29174.38	0.00
CY3_HYB	1450438	505.7171	0.00	589.689	0.00	694.9545	0.00	744.1146	0.00	640.9055	0.00	679.4393	0.00	599.3828	0.00	712.7007	0.00	660.6624	0.00	679.7962	0.00	706.4187	0.00	528.7288	0.00	820.1064	0.00	850.7409	0.00	849.7978	0.00	765.3495	0.00	788.4688	0.00	822.0385	0.00	750.5656	0.00	727.9545	0.00	798.0517	0.00	760.1358	0.00	796.5286	0.00	664.316	0.00	752.3126	0.00	758.3638	0.00	641.3015	0.00	770.4027	0.00	737.7651	0.00	742.563	0.00	711.7075	0.00	672.1942	0.00	688.4271	0.00	667.9911	0.00	709.2631	0.00	696.8729	0.00	553.5991	0.00	697.7408	0.00	533.6516	0.00	698.2645	0.00	627.7361	0.00	593.7326	0.00	706.2336	0.00	599.6927	0.00	631.1335	0.00	714.6241	0.00	650.6036	0.00	589.1497	0.00
CY3_HYB	2510500	4057.079	0.00	5411.988	0.00	6357.941	0.00	6251.521	0.00	5754.577	0.00	6338.833	0.00	5468.719	0.00	6003.543	0.00	5900.934	0.00	5720.08	0.00	6418.278	0.00	4275.429	0.00	7072.28	0.00	6939.701	0.00	7539.517	0.00	6448.34	0.00	6891.171	0.00	6650.155	0.00	6705.941	0.00	6826.624	0.00	6357.402	0.00	6477.039	0.00	6594.422	0.00	5686.541	0.00	6277.033	0.00	6480.905	0.00	5653.875	0.00	6378.33	0.00	5842.878	0.00	6145.717	0.00	5971.823	0.00	6060.991	0.00	6055.857	0.00	6254.731	0.00	7308.959	0.00	6459.494	0.00	3924.248	0.00	6028.669	0.00	4428.703	0.00	6114.984	0.00	5378.674	0.00	4714.581	0.00	5591.972	0.00	5325.326	0.00	6083.207	0.00	5315.766	0.00	5914.415	0.00	5065.904	0.00
CY3_HYB	4010327	15274.53	0.00	19025.98	0.00	22770.27	0.00	23768.4	0.00	23223.58	0.00	21876.24	0.00	21550.74	0.00	23712.28	0.00	23991.76	0.00	21842.58	0.00	26687.49	0.00	17714.53	0.00	31745.34	0.00	34669.96	0.00	34084.05	0.00	27897.42	0.00	30063.51	0.00	27662.24	0.00	28595.63	0.00	27297.08	0.00	27251.57	0.00	27990.15	0.00	26713.18	0.00	25315.99	0.00	27411.94	0.00	25709.66	0.00	23833.5	0.00	25249.78	0.00	25390.35	0.00	23964.24	0.00	23718.6	0.00	25374.28	0.00	24006.42	0.00	24062.23	0.00	26747.15	0.00	25262.04	0.00	16630.31	0.00	24160.16	0.00	18544.17	0.00	22360.87	0.00	23647.22	0.00	21285.01	0.00	26155.81	0.00	22575.77	0.00	22810.83	0.00	25858.99	0.00	23476.26	0.00	23345.85	0.00
CY3_HYB	4610291	3435.885	0.00	3987.605	0.00	4878.327	0.00	5102.258	0.00	4339.426	0.00	5385.182	0.00	4088.195	0.00	4548.251	0.00	4837.881	0.00	4315.81	0.00	4738.369	0.00	3597.351	0.00	6268.494	0.00	6145.627	0.00	5811.305	0.00	5265.795	0.00	6205.456	0.00	5698.921	0.00	5327.228	0.00	5980.201	0.00	5386.845	0.00	5702.859	0.00	5840.663	0.00	4836.375	0.00	5448.336	0.00	5449.217	0.00	4739.428	0.00	5387.753	0.00	5202.31	0.00	5699.296	0.00	5256.396	0.00	5297.803	0.00	5314.22	0.00	5113.51	0.00	5482.308	0.00	5268.378	0.00	3565.681	0.00	4991.226	0.00	3182.994	0.00	4841.781	0.00	4621.915	0.00	4403.57	0.00	4768.398	0.00	4741.151	0.00	4965.498	0.00	4948.396	0.00	4887.952	0.00	4466.025	0.00
CY3_HYB	7560739	390.2081	0.00	414.599	0.00	482.7665	0.00	562.6145	0.00	490.1932	0.00	518.6057	0.00	441.5253	0.00	460.3427	0.00	520.4727	0.00	484.7779	0.00	494.882	0.00	412.3788	0.00	623.3216	0.00	643.5663	0.00	658.2707	0.00	537.2015	0.00	582.304	0.00	632.3281	0.00	609.3173	0.00	618.6931	0.00	658.3049	0.00	632.0639	0.00	629.1691	0.00	563.3477	0.00	537.1909	0.00	559.4322	0.00	519.0482	0.00	582.1179	0.00	566.0236	0.00	515.3624	0.00	565.2788	0.00	559.8671	0.00	539.5338	0.00	572.6869	0.00	565.7211	0.00	610.3522	0.00	369.4275	0.00	548.7671	0.00	368.4352	0.00	512.5339	0.00	485.0973	0.00	458.9641	0.00	513.8356	0.00	489.086	0.00	585.9404	0.00	504.6696	0.00	501.0834	0.00	467.172	0.00
ERCC-00002	430220	85.18671	0.7558442	76.54434	0.9948052	89.21654	0.9857143	108.9337	0.9025974	93.2598	0.9454545	98.4288	0.9701298	84.37962	0.9454545	95.28674	0.9402598	91.64759	0.9493507	76.56979	0.9987013	110.777	0.8272727	82.8047	0.8454546	114.3654	0.9116883	116.1394	0.9038961	127.0539	0.6935065	108.3098	0.7831169	96.09344	0.9922078	116.7771	0.7493507	107.0714	0.9467533	95.21265	0.9883117	112.5117	0.8324676	111.6419	0.8454546	99.95115	0.9831169	98.68742	0.7571428	101.4907	0.9636363	119.0757	0.4597403	96.98443	0.8168831	95.37423	0.9714286	101.3572	0.8168831	85.30894	0.9974026	95.67624	0.8805195	99.3063	0.9	91.10522	0.9142857	90.32	0.9194805	100.2585	0.9207792	97.14662	0.9194805	74.29774	0.9558442	89.49876	0.9948052	73.13989	0.9909091	90.28274	0.9909091	89.73524	0.912987	86.81377	0.9142857	90.09492	0.9766234	91.47113	0.8753247	91.9838	0.9935065	99.65654	0.8402597	85.29198	0.987013	84.15833	0.8987013
ERCC-00003	6370471	79.17887	0.9	87.66164	0.8727273	100.0841	0.8428571	118.8601	0.7844156	99.97372	0.8428571	102.4	0.9402598	89.91959	0.8688312	92.93641	0.9623377	88.35425	0.9779221	91.92459	0.9558442	115.4022	0.7454545	77.35897	0.9506493	122.3046	0.7961039	105.6906	0.9857143	112.1258	0.9285714	108.6514	0.7792208	102.5353	0.9792208	114.2047	0.7948052	117.5986	0.8038961	97.97847	0.9766234	107.8796	0.9	112.081	0.8337662	107.3955	0.9311689	94.46567	0.864935	105.9256	0.9142857	93.69835	0.9675325	91.02539	0.9285714	105.5058	0.8220779	96.87681	0.9103896	98.11592	0.8441558	96.84192	0.851948	99.33677	0.9	87.3261	0.9662338	96.91062	0.7753247	101.0832	0.9051948	91.6134	0.9779221	82.3323	0.7662337	98.58087	0.9090909	85.53013	0.6701299	105.5564	0.7675325	95.38597	0.7649351	90.45657	0.8246753	104.9302	0.6675324	90.57353	0.8935065	107.0543	0.7246753	102.019	0.7818182	93.86604	0.8571429	84.49382	0.8935065
ERCC-00004	6940240	74.58573	0.9701298	87.27986	0.8792208	91.00678	0.9753247	114.161	0.8493506	106.4209	0.7194805	104.5452	0.9155844	92.8504	0.8142857	96.20418	0.9233766	104.711	0.7636364	91.68159	0.9584416	101.4637	0.9402598	79.26142	0.9168831	132.7306	0.6116883	101.836	0.9974026	116.388	0.864935	101.3682	0.9181818	99.13725	0.9896104	108.3899	0.8805195	103.1645	0.9766234	100.1661	0.9558442	102.195	0.9649351	112.7709	0.8194805	99.97278	0.9831169	94.28416	0.8688312	107.8991	0.887013	102.6821	0.8454546	94.08322	0.8701299	104.4672	0.8415585	110.5366	0.6168831	90.74361	0.9753247	89.61971	0.9727273	93.34754	0.974026	100.788	0.7194805	84.23473	0.9857143	103.9758	0.8597403	109.7733	0.6545454	79.37552	0.8558441	90.58752	0.9909091	69.3143	0.9974026	96.07828	0.9441559	89.41523	0.9181818	81.67755	0.9779221	94.31932	0.9298701	83.11175	0.987013	98.72234	0.9116883	99.05903	0.8545455	89.76389	0.9467533	88.77259	0.7688312
ERCC-00009	60372	70.91199	0.9948052	84.74107	0.9285714	96.18333	0.9090909	100.0829	0.9818182	104.1638	0.7688312	97.62528	0.9753247	97.06192	0.7116883	109.5573	0.6935065	89.14848	0.974026	100.1255	0.8493506	106.952	0.8675325	88.9051	0.6909091	115.3522	0.9025974	125.7246	0.7662337	103.1947	0.9883117	110.3973	0.7545455	118.8655	0.7662337	106.481	0.912987	108.4964	0.9298701	109.9102	0.7805195	110.4749	0.8675325	110.8293	0.8623376	104.1201	0.9610389	93.50178	0.8831169	102.3426	0.9584416	103.5435	0.8324676	90.31606	0.9415584	95.14625	0.9727273	94.16874	0.9480519	102.4387	0.7415584	97.90062	0.8337662	105.1987	0.8103896	94.42183	0.8545455	87.68168	0.9610389	114.535	0.6311688	95.9069	0.9285714	85.47726	0.635065	98.2993	0.9168831	88.66281	0.5428572	104.0497	0.7974026	88.17289	0.9324675	89.48066	0.8532467	86.53986	0.9935065	94.71573	0.7805195	94.86807	0.9714286	98.60558	0.8675325	97.82257	0.7402598	80.58728	0.9623377
ERCC-00012	3870280	80.60071	0.8714285	74.9948	0.9987013	91.31862	0.9727273	111.0884	0.8805195	91.03478	0.9662338	91.76228	0.9961039	78.51615	0.9922078	105.9127	0.7766234	86.71878	0.9844156	90.17653	0.9727273	98.66553	0.9701298	76.85316	0.9558442	115.6193	0.8987013	121.6614	0.8220779	118.3016	0.8376623	102.9526	0.8922078	103.7726	0.974026	112.3232	0.8285714	116.7113	0.8246753	107.1542	0.8558441	116.0306	0.7714286	100.4399	0.9753247	112.0715	0.8688312	87.47069	0.9623377	105.9359	0.9142857	87.59292	0.9987013	97.02516	0.8155844	106.552	0.7987013	94.7247	0.9402598	92.24325	0.9558442	92.72212	0.9324675	100.6968	0.8818182	90.27995	0.9298701	86.7557	0.9714286	90.68987	0.9961039	100.6864	0.8584415	79.76245	0.8428571	104.1962	0.7896104	74.99249	0.9753247	98.32559	0.9064935	83.38097	0.9844156	99.71833	0.4896104	106.5019	0.6194805	85.11465	0.9766234	90.36486	0.9935065	92.50871	0.9714286	93.73009	0.8636364	88.07904	0.8
ERCC-00013	1010100	85.69819	0.7376623	82.77708	0.951948	88.35376	0.9948052	106.5703	0.9298701	98.12978	0.8662338	102.6951	0.9350649	101.5411	0.5831169	94.91498	0.9441559	96.71113	0.8831169	91.64352	0.9584416	104.1735	0.8974026	75.55891	0.9688312	112.4513	0.9415584	117.9916	0.8818182	112.4853	0.9246753	103.0484	0.8896104	121.3604	0.7285714	114.0605	0.7974026	111.1344	0.9077922	107.8251	0.8376623	111.4955	0.8441558	106.3911	0.9116883	103.9285	0.9623377	94.18282	0.8701299	98.24196	0.9831169	98.04568	0.912987	89.39761	0.9493507	92.07319	0.987013	101.8127	0.8038961	96.56429	0.8805195	108.6805	0.5675325	90.05709	0.9922078	100.9825	0.7142857	80.17563	0.9974026	100.4364	0.9181818	116.9775	0.4649351	75.83778	0.9363636	90.57372	0.9922078	74.62251	0.9753247	104.9921	0.7792208	94.80279	0.7948052	83.10532	0.9610389	96.78391	0.8753247	94.01389	0.8051948	112.81	0.5441558	110.9889	0.4948052	88.64704	0.9662338	88.40867	0.7844156
ERCC-00014	2970682	83.34644	0.7909091	104.6624	0.3844156	96.06278	0.9116883	112.7897	0.8714285	106.3553	0.7233766	118.6155	0.674026	90.79204	0.8571429	103.878	0.8103896	125.5501	0.1987013	102.867	0.8025974	106.0781	0.8831169	87.48986	0.7311688	134.1389	0.5701299	140.0523	0.4532467	122.9588	0.7688312	121.732	0.4805195	116.4126	0.8038961	113.8607	0.8	116.5078	0.825974	108.0061	0.8337662	116.0876	0.7701299	116.7427	0.761039	126.7938	0.5753247	102.9435	0.635065	104.7904	0.9402598	106.3089	0.7727273	97.44649	0.8025974	110.5927	0.7012987	106.7382	0.7090909	98.81992	0.8298701	101.2106	0.7649351	114.6266	0.561039	89.29723	0.9480519	100.7378	0.6909091	99.83903	0.925974	109.533	0.6623377	79.55064	0.848052	116.8854	0.4272727	87.12718	0.6090909	109.3848	0.6324675	112.8867	0.1571429	86.04068	0.9220779	98.18332	0.8558441	89.76738	0.9077922	113.0609	0.5363637	112.0186	0.4623377	98.73363	0.7051948	86.18502	0.851948
ERCC-00016	1450040	85.73801	0.7350649	95.81564	0.687013	118.3863	0.3948052	140.4603	0.2974026	128.1887	0.2012987	137.4345	0.2168831	109.2725	0.3428572	105.6283	0.7844156	102.6152	0.7935065	102.025	0.8142857	113.6503	0.7766234	92.32291	0.5857143	132.9475	0.6064935	135.4185	0.5831169	151.3507	0.151948	106.4287	0.8194805	127.8158	0.6012987	109.497	0.8636364	125.387	0.6415585	107.0873	0.8571429	123.3709	0.612987	137.7991	0.2376623	127.8962	0.5506493	97.05068	0.8051948	114.2127	0.7935065	96.9812	0.9324675	101.3577	0.7116883	102.0899	0.8779221	104.6241	0.7506493	113.6912	0.4506494	103.2035	0.7090909	113.0008	0.6051948	99.89874	0.7376623	105.4569	0.5376623	113.155	0.6636364	122.3626	0.3025974	89.65519	0.4532467	112.6891	0.5298702	80.90819	0.851948	103.4457	0.8181818	98.20632	0.6532468	96.26147	0.6090909	117.5185	0.2753247	95.58032	0.7571428	111.4171	0.5844156	107.3946	0.6402597	94.74786	0.8363636	86.81272	0.8415585
ERCC-00017	5130189	82.03405	0.8337662	82.75252	0.951948	95.34927	0.9207792	117.3796	0.8051948	97.84768	0.8753247	113.9831	0.7688312	99.22063	0.651948	114.7942	0.5493507	106.3658	0.7246753	99.9707	0.8558441	121.5855	0.6376624	84.04806	0.8168831	128.6342	0.6922078	130.0831	0.7	138.7864	0.4064935	108.5388	0.7792208	115.8779	0.8064935	111.061	0.8415585	116.2476	0.8311688	113.2029	0.7077922	117.1395	0.7532467	112.7351	0.8194805	121.4313	0.6909091	95.3503	0.8467532	107.6227	0.8935065	91.00958	0.9909091	96.31187	0.8298701	99.22275	0.9246753	104.8847	0.7480519	102.7162	0.738961	86.96574	0.9883117	100.3779	0.8896104	105.9531	0.5636364	88.73856	0.9480519	118.703	0.5103896	107.7042	0.7207792	81.63245	0.7935065	117.2223	0.412987	82.87283	0.7805195	102.1724	0.8376623	102.3779	0.4766234	93.88452	0.7077922	86.71555	0.9922078	101.5786	0.5350649	99.23709	0.9025974	101.5796	0.7935065	95.28704	0.8207792	89.20811	0.7571428
ERCC-00019	4880307	84.95675	0.7558442	93.50185	0.7428572	111.6996	0.5805195	121.1225	0.7519481	100.0747	0.8402597	116.4847	0.7155844	95.63612	0.7480519	98.18022	0.8961039	105.3239	0.7480519	95.10417	0.9155844	95.1431	0.9844156	83.64275	0.8272727	105.6151	0.9831169	111.4092	0.9623377	122.889	0.7688312	111.0806	0.7415584	111.7639	0.8701299	112.941	0.8207792	111.4661	0.9	99.05605	0.9688312	116.6612	0.7649351	107.1913	0.9038961	115.8782	0.7922078	95.39423	0.8467532	110.6888	0.848052	96.54044	0.9363636	92.19643	0.9090909	91.16079	0.9935065	100.0753	0.8376623	102.2381	0.7480519	92.68648	0.9324675	99.46653	0.8987013	91.87156	0.9025974	90.93271	0.9116883	110.5043	0.725974	98.94989	0.8857143	77.42039	0.9025974	94.83749	0.9623377	84.54237	0.7168831	105.8682	0.7558442	93.23825	0.8402597	81.4924	0.9779221	102.0359	0.7506493	96.05567	0.7363636	96.90725	0.9454545	99.56667	0.8415585	86.88877	0.9766234	89.99021	0.7272727
ERCC-00022	1070725	77.69875	0.9337662	107.1526	0.312987	103.4668	0.7818182	118.3241	0.7935065	97.82425	0.8753247	99.08228	0.9649351	91.21121	0.8532467	86.46251	0.9883117	100.2479	0.8298701	102.2984	0.8077922	99.911	0.9623377	78.58858	0.9311689	115.9418	0.8948052	121.2047	0.8311688	114.0826	0.8961039	105.7554	0.8285714	113.0454	0.8506494	113.9916	0.7987013	115.6105	0.8441558	105.844	0.8792208	114.0942	0.8038961	109.7548	0.874026	109.2383	0.9116883	100.0946	0.725974	115.4162	0.7688312	104.8147	0.8116883	89.62076	0.9467533	96.4273	0.9610389	110.8717	0.6064935	88.96871	0.9844156	105.8411	0.648052	89.85706	0.9935065	86.32017	0.9753247	91.73318	0.8974026	106.023	0.8272727	103.3917	0.8142857	76.46214	0.9285714	94.08296	0.9649351	79.2996	0.8922078	96.74047	0.9337662	90.77331	0.8935065	87.07955	0.9103896	100.0684	0.8090909	94.18902	0.7948052	97.60941	0.9350649	108.95	0.5909091	88.69888	0.9636363	91.86297	0.6714286
ERCC-00024	6940193	84.21245	0.7753247	83.90904	0.9376624	98.13071	0.874026	98.00102	0.9883117	88.50625	0.9844156	103.9261	0.9233766	88.02255	0.8935065	109.6539	0.6909091	89.1462	0.974026	93.04356	0.9493507	103.9506	0.9025974	80.38519	0.8909091	108.8792	0.9701298	109.0641	0.9766234	97.78809	0.9987013	107.8077	0.7909091	103.1886	0.9792208	111.5662	0.8350649	110.4686	0.9116883	96.93275	0.9831169	104.4638	0.938961	106.55	0.9103896	102.1	0.9753247	90.56826	0.9324675	99.95702	0.9714286	93.08638	0.974026	83.61081	0.9909091	104.2643	0.8441558	99.84588	0.848052	89.0665	0.9844156	91.83121	0.9428571	88.23653	0.9961039	92.13621	0.9012987	94.47291	0.8389611	95.82022	0.9675325	105.2094	0.7675325	84.46862	0.674026	91.03236	0.9896104	78.41516	0.9077922	89.83334	0.9922078	94.50011	0.8	85.92418	0.9220779	98.53296	0.8441558	92.7599	0.8363636	97.55211	0.9350649	96.10889	0.9181818	89.08985	0.9584416	85.90852	0.861039
ERCC-00025	4120470	72.90492	0.9844156	78.24928	0.9883117	106.5564	0.7090909	107.9019	0.9207792	90.81229	0.9688312	107.3441	0.8792208	94.47897	0.774026	96.259	0.9207792	95.09413	0.9090909	94.10362	0.9363636	107.1995	0.864935	77.96279	0.9415584	123.7921	0.7714286	113.389	0.9454545	105.6772	0.9818182	108.6535	0.7792208	99.7718	0.9883117	104.8006	0.9363636	104.2745	0.9636363	101.9911	0.9337662	95.6763	0.9961039	96.311	0.9948052	111.2623	0.8831169	89.09734	0.9480519	100.9655	0.9675325	92.63148	0.9779221	80.83169	0.9961039	98.96043	0.9298701	99.91412	0.8454546	98.05232	0.8454546	92.32068	0.9350649	95.77224	0.9506493	93.34316	0.8714285	87.93257	0.9584416	95.17991	0.9779221	95.41217	0.9337662	69.91852	0.9948052	97.15131	0.9298701	72.13959	0.9948052	95.04791	0.9506493	86.21805	0.9610389	81.91373	0.9779221	89.72684	0.9805195	82.99409	0.9883117	92.72996	0.9896104	90.97769	0.9779221	83.16377	0.9948052	93.23634	0.6285715
ERCC-00028	780445	89.12393	0.6233766	84.78345	0.9285714	101.0497	0.8220779	118.4295	0.7922078	116.658	0.4649351	119.8203	0.6441559	111.058	0.2974026	109.7903	0.687013	103.2402	0.7857143	98.92499	0.8662338	113.5721	0.7779221	93.56512	0.5441558	149.074	0.238961	139.7457	0.4610389	116.2362	0.8701299	126.9156	0.3272727	123.6838	0.6857143	110.2685	0.8532467	149.2587	0.1116883	122.3483	0.487013	121.9396	0.648052	115.3786	0.7922078	114.8997	0.8142857	91.91582	0.9064935	112.5971	0.8246753	100.8122	0.8753247	98.94087	0.761039	109.1989	0.7337663	102.7272	0.7883117	101.0717	0.7818182	92.20777	0.9363636	101.9696	0.8623376	88.06542	0.9584416	102.3539	0.638961	121.4629	0.4324675	106.4458	0.7480519	78.80173	0.874026	129.3864	0.1181818	81.84722	0.8155844	106.684	0.7311688	89.7824	0.9116883	82.36668	0.9701298	119.3752	0.2311688	95.6368	0.7532467	112.8882	0.5428572	111.8517	0.4662338	91.64592	0.9090909	103.0687	0.2571429
ERCC-00031	1300039	78.08929	0.925974	76.42583	0.9961039	94.03929	0.9402598	115.0112	0.8376623	94.56625	0.9207792	105.9679	0.9025974	91.57056	0.8454546	91.71831	0.9662338	91.69489	0.9480519	85.14698	0.9909091	88.47534	0.9974026	75.10846	0.9714286	114.1009	0.9155844	119.9981	0.8506494	117.7989	0.8454546	98.45243	0.9558442	104.0101	0.974026	112.6877	0.8246753	107.7233	0.9402598	102.2461	0.9337662	105.7682	0.9272727	103.225	0.951948	105.447	0.9545454	93.81835	0.874026	115.2597	0.774026	87.83693	0.9987013	92.38544	0.9051948	109.7062	0.7233766	90.22424	0.9883117	87.95642	0.9896104	89.7747	0.9688312	99.4285	0.9	99.11061	0.7519481	97.98968	0.7597402	96.34346	0.9649351	104.3691	0.7922078	80.41869	0.8233766	96.74243	0.938961	79.77809	0.8779221	102.818	0.8285714	103.7699	0.4233766	87.58662	0.9012987	96.62966	0.8818182	84.83546	0.9792208	97.39793	0.9363636	93.23003	0.9597403	92.81195	0.8792208	86.33116	0.8506494
ERCC-00033	4560477	73.9893	0.9766234	82.84191	0.9506493	93.379	0.9441559	97.60166	0.9909091	99.68591	0.8454546	92.29886	0.9961039	93.14918	0.8077922	101.5506	0.8454546	90.26453	0.9662338	96.10043	0.9051948	95.74006	0.9818182	75.71084	0.9688312	102.446	0.9948052	119.0754	0.864935	114.7859	0.8922078	102.5897	0.9	108.3838	0.9220779	99.48486	0.9792208	107.7132	0.9402598	96.67611	0.9831169	102.6643	0.9584416	107.6971	0.8974026	108.8178	0.9194805	100.1549	0.7233766	106.7566	0.9038961	86.80498	0.9987013	92.23806	0.9077922	96.13911	0.9623377	100.8371	0.8272727	96.78971	0.8675325	91.07026	0.9597403	94.1881	0.9636363	89.5476	0.9441559	94.2804	0.8454546	107.1914	0.8012987	96.2221	0.9246753	74.86782	0.951948	96.2846	0.9428571	74.75302	0.9753247	93.34215	0.9662338	88.08005	0.9337662	91.92648	0.7792208	97.3965	0.8675325	90.27721	0.8987013	98.15398	0.9233766	119.3557	0.2350649	96.61806	0.7792208	82.75401	0.9337662
ERCC-00034	5260497	79.28651	0.8961039	88.34944	0.8623376	94.97705	0.9298701	122.3832	0.7298701	100.0138	0.8428571	123.0881	0.5675325	89.18028	0.8766234	117.3586	0.5	98.44687	0.8584415	97.9549	0.8831169	105.3621	0.8935065	76.86697	0.9558442	120.7479	0.8285714	106.2312	0.9844156	111.1245	0.9428571	100.614	0.9363636	102.5014	0.9792208	101.6074	0.9623377	105.857	0.9545454	111.9451	0.7311688	118.8105	0.7155844	105.0443	0.9298701	104.4521	0.9584416	96.92033	0.8077922	102.8676	0.9571428	112.1934	0.6337662	92.15803	0.9090909	102.7309	0.8675325	94.64867	0.9441559	106.1217	0.6649351	103.8969	0.6961039	103.4804	0.8337662	101.8886	0.6922078	106.4789	0.5051948	111.9642	0.7012987	105.0721	0.774026	90.5019	0.4194805	97.4451	0.9285714	80.91231	0.851948	104.0254	0.7974026	95.14229	0.774026	90.98612	0.8090909	107.8192	0.5818182	92.32671	0.8493506	100.6468	0.8727273	102.8439	0.7636364	94.60605	0.8415585	95.72574	0.5506493
