TargetID	ProbeID	HSS 106.AVG_Signal	HSS 106.Detection Pval	HSS 107.AVG_Signal	HSS 107.Detection Pval	HSS 108.AVG_Signal	HSS 108.Detection Pval	HSS 109.AVG_Signal	HSS 109.Detection Pval	HSS 110.AVG_Signal	HSS 110.Detection Pval	HSS 111.AVG_Signal	HSS 111.Detection Pval	HSS 112.AVG_Signal	HSS 112.Detection Pval	HSS 113.AVG_Signal	HSS 113.Detection Pval	HSS 114.AVG_Signal	HSS 114.Detection Pval	HSS 115.AVG_Signal	HSS 115.Detection Pval	HSS 116.AVG_Signal	HSS 116.Detection Pval	HSS 117.AVG_Signal	HSS 117.Detection Pval	HSS 118.AVG_Signal	HSS 118.Detection Pval	HSS 119.AVG_Signal	HSS 119.Detection Pval	HSS 120.AVG_Signal	HSS 120.Detection Pval	HSS 121.AVG_Signal	HSS 121.Detection Pval	HSS 122.AVG_Signal	HSS 122.Detection Pval	HSS 123.AVG_Signal	HSS 123.Detection Pval	HSS 125.AVG_Signal	HSS 125.Detection Pval	HSS 126.AVG_Signal	HSS 126.Detection Pval	HSS 127.AVG_Signal	HSS 127.Detection Pval	HSS 128.AVG_Signal	HSS 128.Detection Pval	HSS 129.AVG_Signal	HSS 129.Detection Pval	HSS 131.AVG_Signal	HSS 131.Detection Pval	HSS 132.AVG_Signal	HSS 132.Detection Pval	HSS 133.AVG_Signal	HSS 133.Detection Pval	HSS 134.AVG_Signal	HSS 134.Detection Pval	HSS 135.AVG_Signal	HSS 135.Detection Pval	HSS 136.AVG_Signal	HSS 136.Detection Pval	HSS 137.AVG_Signal	HSS 137.Detection Pval	HSS 138.AVG_Signal	HSS 138.Detection Pval	HSS 139.AVG_Signal	HSS 139.Detection Pval	HSS 140.AVG_Signal	HSS 140.Detection Pval	HSS 141.AVG_Signal	HSS 141.Detection Pval	HSS 142.AVG_Signal	HSS 142.Detection Pval	HSS 143.AVG_Signal	HSS 143.Detection Pval	HSS 144.AVG_Signal	HSS 144.Detection Pval	HSS 145.AVG_Signal	HSS 145.Detection Pval	HSS 146.AVG_Signal	HSS 146.Detection Pval	HSS 147.AVG_Signal	HSS 147.Detection Pval	HSS 148.AVG_Signal	HSS 148.Detection Pval	HSS 149.AVG_Signal	HSS 149.Detection Pval	HSS 150.AVG_Signal	HSS 150.Detection Pval	HSS 151.AVG_Signal	HSS 151.Detection Pval	HSS 152.AVG_Signal	HSS 152.Detection Pval	HSS 153.AVG_Signal	HSS 153.Detection Pval	HSS 154.AVG_Signal	HSS 154.Detection Pval	HSS 155.AVG_Signal	HSS 155.Detection Pval
NEGATIVE	240739	79.295	0.8961039	91.75631	0.7857143	99.89077	0.8506494	131.9918	0.5246753	113.8923	0.5506493	127.9687	0.4298701	98.03691	0.6896104	113.3453	0.5948052	114.1117	0.5038961	108.3298	0.6883117	129.8796	0.4402598	109.8218	0.08181818	131.7205	0.6376624	137.1001	0.5246753	138.2921	0.4194805	118.0512	0.5714286	108.7039	0.9181818	127.7306	0.4805195	115.2793	0.848052	111.9782	0.7311688	119.7376	0.7012987	123.3372	0.6220779	122.7942	0.6558442	103.6691	0.6116883	122.2613	0.6285715	113.2576	0.6116883	112.2233	0.3675325	122.7824	0.3467532	105.1548	0.7428572	100.1566	0.8103896	87.87056	0.9857143	104.6081	0.8207792	103.4657	0.648052	93.46582	0.8636364	117.6976	0.5363637	109.0854	0.6844156	88.15881	0.5155844	125.1804	0.2	82.8421	0.7818182	125.7128	0.1571429	102.2437	0.4805195	91.83578	0.7857143	114.0639	0.3844156	107.2329	0.3298701	118.2557	0.3662338	116.5244	0.312987	100.2556	0.6428571	91.29527	0.6896104
NEGATIVE	270364	87.94901	0.6610389	97.24027	0.651948	132.4827	0.1051948	136.4604	0.4012987	128.1977	0.2012987	122.1857	0.5987013	119.9126	0.1181818	120.9577	0.3909091	109.5864	0.6493506	128.941	0.174026	140.8324	0.1948052	94.2075	0.5233766	162.3144	0.07142857	174.803	0.02077922	158.6857	0.07402597	144.522	0.03636364	145.0877	0.1662338	162.6299	0.01428571	142.5583	0.2454545	119.4184	0.5779221	147.3838	0.112987	134.7274	0.325974	150.3539	0.0961039	113.5926	0.261039	137.9222	0.238961	128.2261	0.1987013	114.204	0.3038961	126.6924	0.2558441	125.7202	0.1922078	116.5356	0.3376623	115.9677	0.3246753	130.5092	0.1311688	118.793	0.1571429	114.0082	0.2623377	131.4001	0.1896104	135.1563	0.07532468	84.90144	0.6623377	124.2922	0.2233766	96.88745	0.2285714	139.5052	0.03376623	103.9559	0.4116883	96.14776	0.612987	128.0617	0.08441558	118.3553	0.08701298	134.5335	0.05844156	105.4767	0.7	101.5227	0.5974026	97.89102	0.4376623
NEGATIVE	270377	83.32649	0.7922078	101.2861	0.4974026	109.1877	0.6506494	128.0373	0.6116883	115.176	0.5064935	122.2793	0.5935065	100.0772	0.6246753	115.5003	0.5389611	110.7619	0.6194805	108.4765	0.6844156	129.0966	0.4623377	101.6196	0.2506494	124.3526	0.7623377	152.1784	0.1779221	163.5373	0.05064935	118.8014	0.5493507	128.4457	0.5779221	123.0204	0.6012987	125.6389	0.6402597	129.845	0.2766234	124.307	0.5883117	128.9704	0.4844156	155.7599	0.05584415	108.1876	0.4506494	131.3919	0.3935065	111.5136	0.6558442	130.2516	0.04415584	113.0893	0.648052	100.0743	0.8389611	101.6592	0.7649351	119.668	0.2194805	137.514	0.05714286	106.3783	0.5493507	114.5479	0.2532468	125.7274	0.3311688	123.8575	0.2649351	90.81068	0.4012987	111.2521	0.5779221	96.22847	0.2441558	115.8251	0.412987	97.64848	0.6701299	102.8558	0.361039	107.7264	0.5857143	106.0462	0.3714286	123.8212	0.2246753	121.314	0.2	106.3917	0.4103896	97.71418	0.4441558
NEGATIVE	270400	95.97646	0.3480519	103.887	0.4116883	119.6465	0.3649351	140.3414	0.2987013	119.9942	0.3805195	151.3023	0.05714286	107.267	0.3935065	109.6727	0.6909091	149.2069	0.01298701	136.4909	0.08441558	133.6921	0.3311688	106.5613	0.1363636	149.6834	0.2246753	146.3385	0.2896104	148.3911	0.1922078	118.7403	0.5519481	121.6255	0.7246753	141.9743	0.138961	127.9748	0.5948052	118.5714	0.5935065	134.3041	0.3402597	121.6462	0.6610389	141.1629	0.2285714	113.2855	0.274026	142.2345	0.1649351	128.0784	0.2051948	115.4435	0.2805195	144.3346	0.03636364	127.6831	0.1441558	124.0873	0.1584416	127.9959	0.07922078	123.9154	0.2779221	114.1071	0.2623377	115.7684	0.2090909	111.5067	0.7077922	134.8158	0.08051948	100.1959	0.1493506	124.8806	0.2077922	97.13691	0.2168831	124.598	0.1818182	112.0878	0.1675325	119.7121	0.04675325	102.5233	0.7337663	103.0988	0.4831169	110.4155	0.6272727	99.0607	0.8545455	113.9125	0.1818182	96.89225	0.4818182
NEGATIVE	270504	96.6709	0.3285714	95.8142	0.6883117	122.4369	0.2844156	138.953	0.3311688	111.7405	0.6077922	146.9905	0.08831169	114.451	0.2142857	121.0426	0.3883117	119.3296	0.3480519	120.2711	0.3792208	121.9972	0.6298701	100.478	0.2948052	118.0399	0.8766234	135.4506	0.5805195	138.1778	0.4246753	111.9866	0.7233766	140.9137	0.2558441	128.3501	0.4597403	124.7808	0.651948	124.6662	0.425974	135.935	0.3025974	124.6129	0.5831169	132.8404	0.4233766	103.0176	0.6285715	133.7558	0.3220779	140.504	0.05194805	120.0809	0.1779221	112.5614	0.6610389	122.8658	0.261039	99.78793	0.8155844	111.8994	0.4688312	122.4762	0.3142857	101.8668	0.6935065	122.9797	0.08831169	126.8923	0.2753247	117.6389	0.4376623	87.69735	0.5441558	118.4635	0.374026	93.86191	0.3064935	121.8367	0.2415584	104.4974	0.3896104	110.4184	0.1506494	127.6425	0.08831169	105.4943	0.3987013	110.6681	0.6142857	121.0667	0.2038961	113.8769	0.1844156	101.5702	0.2987013
NEGATIVE	290338	94.8241	0.3922078	105.1974	0.3766234	124.952	0.238961	135.0025	0.4428571	123.4177	0.3038961	157.9453	0.02467532	114.7378	0.2038961	145.609	0.04155844	125.6552	0.1974026	118.5387	0.4337662	163.0263	0.02207792	103.634	0.2012987	132.8608	0.6090909	152.9667	0.1675325	146.9515	0.2285714	129.1946	0.2727273	129.9919	0.5506493	133.6918	0.3142857	147.565	0.1402597	127.7911	0.3324675	144.5062	0.1467533	135.6391	0.3038961	136.2912	0.3272727	117.6919	0.1727273	119.8079	0.6883117	133.4969	0.1064935	112.1793	0.3714286	132.661	0.1506494	128.456	0.1298701	112.7402	0.4727273	118.4033	0.2584416	120.0454	0.3961039	111.724	0.3428572	125.2293	0.06493507	127.1012	0.2688312	134.515	0.08571429	85.28757	0.6454545	133.107	0.07792208	87.21498	0.6064935	115.4532	0.4246753	102.1187	0.4857143	118.9645	0.05194805	108.8416	0.5493507	110.8855	0.2181818	122.1978	0.2545455	125.2608	0.125974	109.4702	0.3077922	103.7679	0.2415584
NEGATIVE	290576	92.6115	0.4935065	115.0269	0.1376623	116.3016	0.4610389	142.9935	0.2454545	106.8804	0.7142857	124.0324	0.5350649	123.2965	0.08181818	109.397	0.7012987	113.4342	0.5324675	109.0349	0.674026	132.479	0.3597403	96.01292	0.4571429	139.5971	0.4272727	153.8621	0.1545455	170.9493	0.02857143	133.0155	0.1922078	136.9005	0.3597403	134.3037	0.2948052	129.1487	0.5701299	134.7127	0.1766234	139.5784	0.2311688	124.423	0.5896104	130.8424	0.4766234	107.7098	0.4623377	135.8743	0.2805195	131.7414	0.1337662	109.5212	0.4805195	137.6301	0.08051948	132.5862	0.08571429	117.1233	0.3194805	122.1192	0.1584416	127.6859	0.1857143	127.1967	0.04285714	103.9705	0.587013	114.2903	0.6363636	133.5332	0.0961039	96.73824	0.2220779	125.4762	0.1909091	90.36478	0.4714286	135.7189	0.04935065	100.4941	0.561039	106.2388	0.2454545	114.0361	0.3857143	124.2379	0.04285714	113.7033	0.5207792	117.2848	0.3051948	115.6664	0.1415584	95.59166	0.5623376
NEGATIVE	360215	87.06551	0.6961039	99.16088	0.5766234	132.5948	0.1025974	124.7749	0.6727273	118.6859	0.4142857	121.9918	0.6051948	114.485	0.2116883	118.3796	0.4714286	120.2172	0.3142857	120.9644	0.3597403	136.3788	0.2883117	97.65475	0.4051948	142.8582	0.3454545	135.2339	0.587013	136.8445	0.4532467	127.4713	0.312987	149.2428	0.1103896	130.3353	0.4077922	122.2225	0.6974026	110.0575	0.7779221	123.2865	0.6155844	127.2498	0.5220779	133.8543	0.3857143	102.0611	0.6649351	123.8126	0.5818182	111.3011	0.6597403	108.636	0.5012987	129.1522	0.1961039	119.1836	0.3571429	110.9378	0.5324675	112.1472	0.4558442	127.616	0.1883117	105.7591	0.5714286	103.001	0.6168831	116.398	0.5714286	110.4379	0.6428571	87.30446	0.5584416	112.5307	0.5324675	98.85538	0.1727273	116.541	0.3961039	107.4524	0.2922078	89.18217	0.861039	115.0821	0.3441558	118.2472	0.08831169	118.1608	0.3714286	110.9014	0.5038961	98.73641	0.7051948	89.65452	0.7376623
NEGATIVE	360450	94.25249	0.4194805	108.6797	0.2558441	125.7975	0.2220779	156.5318	0.06883117	146.5872	0.03506494	114.2817	0.7623377	126.0552	0.04805195	154.4308	0.01038961	116.0301	0.4597403	118.5844	0.4324675	139.8191	0.2103896	100.869	0.2818182	132.6547	0.6155844	152.96	0.1688312	147.3101	0.2090909	138.4129	0.1025974	130.8268	0.5246753	123.0533	0.5974026	147.6335	0.138961	127.742	0.3337662	130.9787	0.4402598	124.1706	0.5987013	138.4811	0.2883117	124.0212	0.08441558	113.544	0.8038961	125.4913	0.2701299	115.3917	0.2818182	124.5332	0.3038961	106.1035	0.7233766	111.5378	0.512987	100.7824	0.7727273	124.4105	0.2688312	111.3969	0.3558442	113.4609	0.2688312	135.7483	0.1142857	104.1076	0.7948052	100.5793	0.1363636	125.6959	0.1844156	105.6004	0.05194805	119.5157	0.2948052	98.97956	0.6220779	112.6952	0.1181818	111.2164	0.4623377	100.7656	0.5675325	116.5868	0.4272727	115.4551	0.3493507	117.1698	0.1103896	110.5496	0.0961039
NEGATIVE	380364	94.84383	0.3896104	101.4321	0.4948052	113.0026	0.5454546	154.3547	0.0948052	127.3054	0.2168831	127.3546	0.4467532	112.7398	0.2571429	129.8185	0.1948052	123.0855	0.2493507	128.5654	0.1844156	124.1746	0.5727273	90.63129	0.6428571	140.6345	0.4025974	149.4339	0.2285714	142.8257	0.3337662	125.2899	0.3701299	140.0906	0.2792208	128.5001	0.4558442	141.0456	0.2831169	129.2433	0.2883117	121.3701	0.6649351	134.3813	0.338961	155.3864	0.05974026	108.7313	0.4272727	116.9946	0.7415584	118.5569	0.4779221	117.7669	0.2285714	138.1442	0.07402597	117.1626	0.4181818	127.5967	0.0948052	124.9608	0.1220779	132.3524	0.1	109.7455	0.425974	109.3205	0.4155844	130.0389	0.2103896	124.6183	0.2441558	89.10921	0.4792208	126.6589	0.1649351	84.28229	0.725974	132.0037	0.07532468	104.8963	0.3714286	95.99633	0.6194805	111.9532	0.4428571	104.9245	0.4272727	114.7625	0.4883117	115.5515	0.3454545	104.4946	0.4831169	97.11334	0.4753247
