Index	Sample ID	Sample Group	Sentrix Barcode	Sample Section	Detected Genes (0.01)	Detected Genes (0.05)	Signal Average	Signal P05	Signal P25	Signal P50	Signal P75	Signal P95	Sample_ID	Pool_ID	Sample_Well	Sample_Plate	BIOTIN	CY3_HYB	ERCC-00002	ERCC-00003	ERCC-00004	ERCC-00009	ERCC-00012	ERCC-00013	ERCC-00014	ERCC-00016	ERCC-00017	ERCC-00019	ERCC-00022	ERCC-00024	ERCC-00025	ERCC-00028	ERCC-00031	ERCC-00033	ERCC-00034	ERCC-00035	ERCC-00039	ERCC-00040	ERCC-00041	ERCC-00042	ERCC-00043	ERCC-00044	ERCC-00046	ERCC-00048	ERCC-00051	ERCC-00053	ERCC-00054	ERCC-00057	ERCC-00058	ERCC-00059	ERCC-00060	ERCC-00061	ERCC-00062	ERCC-00067	ERCC-00069	ERCC-00071	ERCC-00073	ERCC-00074	ERCC-00075	ERCC-00076	ERCC-00077	ERCC-00078	ERCC-00079	ERCC-00081	ERCC-00083	ERCC-00084	ERCC-00085	ERCC-00086	ERCC-00092	ERCC-00095	ERCC-00096	ERCC-00097	ERCC-00098	ERCC-00099	ERCC-00104	ERCC-00108	ERCC-00109	ERCC-00111	ERCC-00112	ERCC-00113	ERCC-00116	ERCC-00117	ERCC-00120	ERCC-00123	ERCC-00126	ERCC-00130	ERCC-00131	ERCC-00134	ERCC-00136	ERCC-00137	ERCC-00138	ERCC-00142	ERCC-00143	ERCC-00144	ERCC-00145	ERCC-00147	ERCC-00148	ERCC-00150	ERCC-00154	ERCC-00156	ERCC-00157	ERCC-00158	ERCC-00160	ERCC-00162	ERCC-00163	ERCC-00164	ERCC-00165	ERCC-00168	ERCC-00170	ERCC-00171	HOUSEKEEPING	LABELING	LOW_STRINGENCY_HYB	NEGATIVE (background)	Noise
38	640	LE-Heart	5636631023	B	9003	11306	350.2401	-33.42392	-0.4731738	21.84276	93.13234	1317.497	640				29553.86	13630.33	179.2129	171.7954	171.631	244.2343	168.8486	180.6188	195.211	169.2412	182.0855	181.4731	175.2508	185.6534	175.4996	207.9159	171.7137	169.6218	180.7553	184.1987	180.7768	180.8422	189.5283	170.2404	192.1984	179.7751	180.5119	173.1595	198.853	171.6711	172.6078	164.6845	191.8584	183.8946	203.4136	215.0716	193.2558	186.2176	157.0677	194.0275	198.8572	167.9866	170.6735	184.4963	184.4744	200.3402	174.8381	181.0511	168.8477	178.1892	185.1487	198.8683	186.6707	173.3925	154.8604	187.5329	176.5394	196.7583	193.0271	197.122	166.7386	198.4772	206.5071	178.1008	179.5496	176.6715	182.9693	169.8872	213.4286	180.5995	172.1598	191.2724	201.7607	171.5744	208.8748	178.1868	194.4183	185.948	197.7018	169.1416	174.5407	170.2711	194.7037	163.7355	235.4329	163.5181	165.1248	189.9876	206.0234	194.0438	184.4675	188.6017	197.6216	200.3799	12963.77	202.7232	13598.79	217.3551	28.47182
39	641	LE-Heart	5636631023	C	8958	11606	349.1759	-33.26849	-0.07349851	23.61166	100.4444	1382.839	641				26590.1	13187.65	163.377	187.8048	176.2815	258.9574	168.7085	176.6894	207.5517	155.2126	186.0196	164.7708	164.1787	180.4845	164.227	188.1592	184.1784	168.8887	182.9239	176.5778	170.8263	179.2198	181.1684	204.7992	176.4307	177.9001	195.3489	169.2678	185.0846	188.2679	187.331	172.3456	196.3487	190.6795	183.0134	183.7078	196.2425	162.9275	187.7333	195.7807	178.4404	173.5109	171.7989	165.2708	201.045	170.8819	203.8304	184.567	173.3196	181.1655	187.2085	170.1171	206.8934	162.5822	165.4251	195.7384	183.1922	205.791	191.482	176.7027	176.3974	171.4468	183.5821	166.1703	176.7151	183.4503	168.7278	175.7844	230.7458	177.0742	186.8631	177.7521	179.0264	206.2961	184.1547	204.2626	196.0002	216.7427	180.6325	174.0831	182.5748	193.5939	195.9631	179.5931	200.5549	177.0554	190.4199	172.8633	209.9059	197.0334	185.791	196.6588	193.1169	194.1915	12096.55	210.0802	12773.71	214.3564	29.5378
40	642	LE-Heart	5636631023	D	9375	11665	364.8558	-33.88874	-0.377057	22.35138	104.9809	1425.319	642				31333.69	12966.31	172.2326	167.5131	178.7684	232.075	174.746	177.7252	172.0892	171.104	177.994	176.0703	188.7082	165.2713	171.5825	174.7296	171.1717	166.1827	192.3858	180.2054	190.075	165.8015	165.9504	180.4688	169.1911	189.2497	160.5205	183.5779	179.969	190.5963	192.1529	171.4137	187.2999	182.2964	169.7044	186.4498	190.282	167.747	179.1855	186.3314	171.025	177.5293	185.8038	186.4726	181.5052	179.57	188.1469	173.3099	177.2243	197.5226	169.7829	172.8159	176.8473	174.7717	164.9473	168.2789	189.5998	183.3019	181.4459	177.0897	169.6185	175.4563	217.9073	174.8174	172.2583	188.983	170.3475	176.7281	196.0721	176.1154	168.3357	166.7863	181.7034	177.6252	182.3232	174.0493	165.9025	188.5576	193.1268	181.84	157.4574	173.1218	182.597	166.0649	196.0001	175.5811	176.1458	175.1354	195.1367	217.9678	169.5401	204.4451	196.3226	194.1909	12482.12	212.1725	12682	213.6216	28.7302
41	643	LE-Heart	5636631023	E	8996	11146	295.7214	-31.16877	-0.9090086	19.69765	85.63419	1157.022	643				28777.96	12058.67	166.1409	171.6709	153.9865	254.7594	164.4064	159.7936	172.3865	175.0779	168.2223	157.2553	145.2716	161.4098	168.2839	169.3737	151.5778	153.316	154.2791	169.3459	162.2219	166.5008	173.4641	168.4104	156.5996	158.0856	173.2324	170.4174	163.2403	174.266	158.4991	145.8556	198.4817	182.7279	174.8332	163.3613	157.8645	162.6849	167.6296	153.2535	144.5157	145.9757	148.7978	172.421	164.8215	145.0462	176.7881	166.4972	151.0492	155.8001	152.3212	173.7352	151.0508	172.1615	165.7913	165.7544	169.088	178.9928	156.8462	166.4165	142.8391	171.6788	178.069	157.8526	165.753	159.2711	159.0016	135.4874	159.9689	146.6884	162.5061	164.9258	184.6152	172.1261	148.0435	145.7066	163.7552	175.534	172.6049	157.1111	136.2137	158.4587	160.5505	178.8398	203.0019	147.5632	161.6878	168.8106	160.8216	151.9835	164.6892	151.3858	169.6854	187.2183	10757.9	197.0095	11255.61	191.4099	26.84945
42	645	LE-Heart	5636631023	F	9016	11374	287.5853	-33.33543	-0.3766445	21.0987	85.47997	1150.867	645				26046.63	11362.38	163.6501	143.1645	156.4408	233.3754	154.7813	164.4568	171.9075	160.0464	154.9801	164.8972	158.7847	160.3556	143.3693	145.4826	145.4839	145.3308	156.8419	170.2532	142.4186	178.7726	175.7024	152.6516	141.4296	153.4026	163.3535	152.7815	146.2011	167.593	171.6547	152.7039	171.441	148.4735	172.3706	170.2463	179.1431	149.2859	156.2093	158.0544	173.2879	159.1094	134.7161	162.2992	163.0447	151.2706	131.9609	144.7087	160.1458	176.6776	162.1035	172.6578	156.9394	147.5607	168.7366	163.3324	143.3377	165.9813	158.1108	154.3989	163.3609	165.6973	169.2248	151.5809	177.9219	166.6418	124.2962	156.4162	190.4784	175.9079	152.0079	158.6828	153.7467	180.123	155.8959	172.7276	177.7797	173.2491	161.9894	159.2096	147.5728	157.0132	190.8387	147.125	173.8111	183.346	173.3355	168.5318	169.4194	160.3743	146.1661	184.6977	173.0549	174.0378	11198.58	193.3251	10992.69	193.0319	27.5124
43	646	LE-Heart	5636631023	G	8593	11187	326.9689	-40.29987	0.7397839	25.97524	96.0848	1321.802	646				31784.27	13135.26	176.258	213.2748	194.3438	237.4177	169.9908	202.0453	228.5105	202.8572	196.5361	195.7093	187.687	181.7334	191.5534	199.9082	176.1765	207.3441	195.6465	185.4942	182.9619	196.019	211.8332	194.1063	170.0285	194.1456	196.3876	192.9281	215.4599	190.4362	189.579	177.6652	198.4508	202.3142	220.1814	197.2698	200.835	191.853	187.7914	203.4148	206.1984	183.526	171.3566	192.9487	191.4521	198.2524	185.6818	186.0081	186.0994	198.179	191.2134	201.7648	184.9417	193.068	196.2816	198.1773	195.6474	208.4118	186.7193	192.9777	179.4184	211.0584	214.1532	184.2979	197.6275	190.3277	186.0958	168.7146	207.6985	184.5051	175.9779	183.4313	235.8499	202.7391	196.3304	189.6275	187.6174	200.6872	186.3909	188.5237	204.1888	188.4985	190.6131	180.114	235.7094	179.5262	183.3359	190.622	233.2383	218.2469	186.7887	240.5972	203.112	180.3514	12481.3	212.217	12695.98	236.3396	33.79672
44	647	LE-Heart	5636631023	H	8763	11025	297.2462	-35.59093	-1.304728	21.48788	86.31965	1228.778	647				26504.8	10147.81	138.6756	145.9857	153.272	197.0316	152.1475	163.2417	160.748	159.6445	151.0253	151.3694	140.8981	156.644	138.5642	163.637	149.4311	143.873	154.567	149.7417	148.3802	145.7731	156.212	144.3567	161.8041	146.3972	134.5404	149.125	172.8122	155.562	148.9055	146.82	149.5927	141.2042	163.6864	154.6965	170.6055	152.7757	142.0039	154.567	143.7119	156.4239	156.4957	137.7204	165.9901	133.9412	144.8423	144.2993	116.2432	147.1085	135.5969	148.1173	152.4371	144.0736	157.0304	156.2599	135.1496	143.2173	173.8904	153.7606	143.6124	164.1288	128.2954	139.6917	164.4794	141.2906	155.3386	135.1842	191.1455	144.7964	148.7531	140.8994	177.0363	171.2618	166.1207	167.7	146.5103	156.6951	169.2192	157.2607	139.2944	155.6554	167.6264	151.3663	192.2145	128.7747	148.8029	155.9041	180.1226	151.8865	147.4874	188.5944	169.3183	157.7088	10396.93	186.2588	9820.52	187.7735	28.96608
45	648	LE-Heart	5636631023	I	8881	11207	355.1713	-39.91782	0.3186546	25.73729	108.403	1439.255	648				34458.09	12992.88	185.9498	178.9718	209.5769	257.0764	178.8855	196.3239	204.6237	211.5273	187.5643	173.5304	218.2133	193.856	198.3606	216.7095	206.96	187.7771	185.8707	210.8375	203.5863	197.043	209.6682	201.9068	226.2313	209.4563	198.9247	193.4178	212.2114	176.9698	200.0041	184.5377	216.9838	198.0674	199.3442	190.5439	209.2966	178.1985	204.3409	195.9461	177.4462	198.0867	162.8649	186.6732	218.876	196.2706	180.7437	186.4544	198.157	200.2016	198.3147	185.0183	216.6147	187.6182	190.6191	206.1474	191.5194	189.3416	202.8615	207.6532	188.3351	188.5456	212.8785	184.5663	214.3008	180.1788	174.0116	215.9026	214.9875	195.3578	176.7213	181.6409	218.8626	191.9587	195.1768	204.922	201.7313	199.765	186.9469	201.7149	200.6833	197.2061	187.8136	207.5425	219.9879	200.7238	199.8245	219.8647	217.0926	235.9467	184.8724	181.1883	221.4867	236.7341	12500.15	234.2984	12697.76	236.4117	34.03311
46	649	LE-Heart	5636631023	J	8802	11010	350.6572	-41.66256	-1.463782	24.29478	102.2706	1382.107	649				29949.76	12453.51	186.2815	176.6712	152.7875	238.1919	166.5455	178.1927	179.9397	194.2503	200.4285	175.788	182.7422	160.5278	180.8761	200.8495	161.9414	169.354	172.8244	182.2269	157.7149	197.6235	198.9008	203.8909	148.9726	178.3228	158.748	200.9442	180.5654	163.4022	178.8784	160.7216	186.4774	161.6451	200.5937	198.7175	192.9351	167.1891	170.935	184.6219	197.0146	175.3687	182.5154	193.1679	175.782	173.1316	180.9868	176.9574	171.6149	205.1842	175.0334	200.8619	167.7935	213.8148	171.0339	183.8776	183.4588	190.4057	187.1413	178.2064	172.765	176.6305	196.5618	168.7423	191.392	163.5329	175.815	170.8093	217.3897	189.3827	164.4936	185.8462	204.0591	221.1524	260.5583	179.7424	207.6793	179.069	178.521	177.6732	173.6611	177.3462	184.8492	198.604	181.0444	178.8133	189.3764	172.7113	181.075	198.0174	182.4224	196.2895	202.3979	181.9073	11552.92	210.4676	12656.89	226.0316	33.99352
47	650	LE-Heart	5636631023	K	8695	11120	319.1223	-40.90764	-0.1629961	24.97975	93.72346	1241.746	650				29166.06	13845.17	190.2599	188.5514	176.7035	271.7772	183.8511	184.1626	192.1204	194.0446	190.7208	191.3915	196.0447	181.1317	176.1481	181.7534	193.293	188.8858	190.0351	192.7991	167.9003	194.9682	185.7441	192.9486	180.3193	174.861	171.8837	178.4023	183.4086	179.9413	210.2776	185.3474	194.2131	200.3006	158.1618	198.3248	207.0947	176.1591	199.0718	182.1264	186.8283	203.8066	206.7317	185.3269	177.6942	197.2365	192.8488	185.8808	188.4292	174.1432	170.3916	195.8065	188.7518	175.2936	169.2647	208.3935	208.7212	191.5942	198.8738	195.5109	185.7702	210.4999	200.2118	175.8418	212.1257	183.347	198.0139	181.7156	217.077	166.496	169.5563	195.2743	210.4736	205.5194	184.3479	197.7626	213.1502	193.6696	189.0932	205.5895	190.32	177.1138	203.093	178.2631	211.6902	176.1965	186.6785	226.7962	196.1831	179.8299	181.5928	188.3181	233.1605	202.3504	12109.08	225.5907	13435.82	231.2199	33.57187
48	651	LE-Heart	5636631023	L	8903	10995	372.9198	-42.01872	-0.6002957	25.78503	109.9372	1566.508	651				30326.47	12043.09	193.3927	187.6464	177.9929	283.6305	176.9866	190.2106	199.6487	210.6622	201.8259	184.5088	178.2466	205.4999	192.4996	198.5171	194.0577	184.2182	171.2262	186.4028	191.0755	175.6001	185.9477	194.9683	188.3914	186.792	187.8553	190.1598	186.6368	192.4967	193.553	171.5485	196.4437	197.4533	163.8625	199.2987	190.7214	191.672	216.2713	199.5166	179.5812	189.6029	176.9394	193.4339	176.4336	177.2287	208.8363	208.3292	176.6738	187.9014	187.1487	218.2652	198.1495	198.2051	198.417	195.0536	171.2595	202.5107	196.506	215.6288	191.4018	220.9474	200.7081	190.4028	219.0796	183.3836	167.226	192.6962	239.7543	164.9394	204.2526	200.0366	216.3724	189.5617	188.509	202.7968	198.8909	193.4098	188.701	183.9623	184.694	204.269	192.5031	208.5133	207.8494	184.334	210.387	191.734	195.7755	208.1855	193.7742	214.0276	175.7348	212.1136	13331.23	217.5262	12860.43	234.9267	35.30598
